                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.47584,                0.71205,                0.88717,                0.84515,                      1,                0.94622,                0.90373,                0.35289,                0.54238,                0.82732,              0.0015449,              0.0015449,              0.0015449
                     76,                0.44786,                0.62082,                0.88547,                 0.9096,                0.89303,                0.94434,                0.89917,                0.37239,                0.56413,                0.83381,              0.0015432,              0.0015432,              0.0015432
                     77,                0.44892,                0.73458,                0.88156,                0.81563,                  0.925,                0.89536,                0.87563,                0.37119,                 0.5678,                0.83294,              0.0015416,              0.0015416,              0.0015416
                     78,                0.45883,                0.76029,                0.87471,                0.80128,                   0.75,                0.79526,                0.76346,                0.39713,                0.61005,                0.84101,              0.0015399,              0.0015399,              0.0015399
                     79,                0.42488,                0.67927,                0.87544,                0.82857,                    0.7,                0.78165,                0.74973,                0.39807,                0.60981,                0.84739,              0.0015383,              0.0015383,              0.0015383
                     80,                0.44894,                0.68637,                0.84994,                0.82292,                  0.825,                0.82368,                0.78348,                 0.3842,                0.57991,                0.84045,              0.0015366,              0.0015366,              0.0015366
                     81,                0.43984,                0.64978,                0.87298,                0.84524,                   0.95,                0.89046,                0.86371,                0.36405,                0.54923,                0.84044,               0.001535,               0.001535,               0.001535
                     82,                0.41846,                0.56779,                0.87635,                0.84524,                   0.95,                0.93799,                0.88835,                0.39279,                0.56254,                0.84701,              0.0015333,              0.0015333,              0.0015333
                     83,                0.47697,                0.66223,                0.91853,                0.88333,                   0.85,                0.90112,                0.86705,                0.35697,                0.59447,                0.83093,              0.0015317,              0.0015317,              0.0015317
                     84,                0.45929,                0.67328,                0.90432,                  0.875,                  0.775,                0.87087,                0.85012,                0.35084,                0.74061,                0.83094,                0.00153,                0.00153,                0.00153
                     85,                0.44232,                0.64026,                0.87785,                0.91667,                   0.65,                0.81795,                0.79735,                0.37197,                0.95119,                0.84053,              0.0015284,              0.0015284,              0.0015284
                     86,                0.44021,                0.69418,                0.93252,                0.87821,                    0.8,                0.88122,                0.84939,                 0.3769,                0.75638,                0.83855,              0.0015267,              0.0015267,              0.0015267
                     87,                0.37247,                0.58578,                0.86364,                0.91996,                0.84465,                0.89118,                0.86283,                0.35011,                0.65245,                0.82956,              0.0015251,              0.0015251,              0.0015251
                     88,                0.41756,                0.64828,                0.87603,                0.84167,                  0.925,                 0.9265,                0.86446,                0.39953,                0.52632,                 0.8379,              0.0015234,              0.0015234,              0.0015234
                     89,                0.41815,                0.60911,                0.86232,                 0.8683,                0.96716,                0.96254,                0.91351,                0.35258,                0.48633,                0.82437,              0.0015218,              0.0015218,              0.0015218
                     90,                0.46577,                0.76808,                0.91235,                0.86667,                   0.95,                0.94066,                0.91236,                0.35097,                0.51263,                0.82648,              0.0015201,              0.0015201,              0.0015201
                     91,                0.42451,                0.73891,                0.87833,                0.86667,                   0.95,                0.94989,                0.92318,                0.34833,                0.50293,                0.83198,              0.0015185,              0.0015185,              0.0015185
                     92,                0.46174,                 0.6418,                0.88266,                0.85932,                  0.975,                0.96234,                0.94225,                 0.3538,                 0.5172,                0.84086,              0.0015168,              0.0015168,              0.0015168
                     93,                0.45296,                0.72887,                0.87653,                 0.8594,                      1,                0.96562,                0.93015,                0.34872,                0.56977,                0.84064,              0.0015152,              0.0015152,              0.0015152
                     94,                0.41203,                0.65753,                0.86975,                0.90583,                0.91962,                 0.9318,                0.89623,                0.34011,                0.56224,                0.83201,              0.0015135,              0.0015135,              0.0015135
                     95,                0.48817,                0.65196,                0.88528,                0.91667,                    0.7,                0.83386,                0.81469,                0.34766,                0.73053,                 0.8319,              0.0015119,              0.0015119,              0.0015119
                     96,                0.43665,                 0.6534,                0.86481,                0.95455,                    0.6,                0.78386,                0.76917,                0.32838,                0.83051,                0.82567,              0.0015102,              0.0015102,              0.0015102
                     97,                0.47488,                0.66979,                0.87324,                0.95455,                   0.75,                0.86795,                0.83865,                0.33964,                0.68421,                0.82853,              0.0015086,              0.0015086,              0.0015086
                     98,                0.44845,                0.66598,                0.89701,                0.86014,                   0.85,                0.89568,                0.87595,                0.33725,                0.50321,                0.82672,              0.0015069,              0.0015069,              0.0015069
                     99,                0.44053,                0.61386,                0.89077,                0.86667,                  0.825,                0.88805,                0.86074,                0.35276,                0.53062,                 0.8361,              0.0015053,              0.0015053,              0.0015053
                    100,                0.45014,                0.60273,                0.89085,                0.89118,                  0.825,                0.89086,                0.86007,                0.35244,                0.55317,                0.83601,              0.0015036,              0.0015036,              0.0015036
                    101,                0.39383,                0.56468,                0.84263,                0.89572,                  0.875,                0.91206,                 0.8797,                0.35633,                0.48701,                0.83458,               0.001502,               0.001502,               0.001502
                    102,                0.41138,                0.58157,                0.88295,                0.94444,                    0.9,                0.92976,                0.89362,                0.35165,                0.46166,                0.82853,              0.0015003,              0.0015003,              0.0015003
                    103,                0.43338,                0.64727,                 0.8988,                0.91442,                    0.9,                0.93835,                0.90555,                0.33512,                0.46478,                0.83089,              0.0014987,              0.0014987,              0.0014987
                    104,                0.48021,                0.61109,                0.95422,                   0.85,                  0.825,                0.89086,                0.86322,                0.34588,                0.64849,                0.84694,               0.001497,               0.001497,               0.001497
                    105,                 0.4367,                0.60041,                0.87847,                 0.8489,                  0.825,                0.89643,                0.86397,                0.34706,                 0.6536,                0.84924,              0.0014954,              0.0014954,              0.0014954
                    106,                0.48451,                0.58598,                0.90094,                 0.9211,                0.84887,                0.90948,                0.86255,                0.34521,                0.53963,                0.84251,              0.0014937,              0.0014937,              0.0014937
                    107,                0.45695,                0.55785,                0.91451,                0.87955,                  0.925,                0.93942,                0.89161,                0.33867,                0.48556,                0.83976,              0.0014921,              0.0014921,              0.0014921
                    108,                0.40046,                 0.5967,                0.85252,                0.87772,                      1,                0.97362,                0.93566,                0.33691,                0.48831,                 0.8422,              0.0014904,              0.0014904,              0.0014904
                    109,                0.46418,                0.53491,                 0.8868,                0.87359,                 0.8937,                0.92909,                0.88422,                0.33991,                0.49356,                0.83449,              0.0014888,              0.0014888,              0.0014888
                    110,                 0.4305,                0.54153,                 0.8741,                0.82579,                  0.875,                0.91398,                0.88182,                0.33648,                0.55683,                0.82723,              0.0014871,              0.0014871,              0.0014871
                    111,                0.41746,                0.54406,                0.85369,                0.85784,                  0.875,                0.91514,                0.88961,                0.31332,                0.51578,                0.82314,              0.0014855,              0.0014855,              0.0014855
                    112,                0.44753,                0.53644,                0.86738,                0.87225,                  0.925,                0.92091,                0.90409,                0.32913,                0.47868,                0.83131,              0.0014838,              0.0014838,              0.0014838
                    113,                0.45955,                  0.597,                0.86182,                0.88825,                    0.9,                0.89502,                0.88318,                0.32353,                0.50863,                0.83256,              0.0014822,              0.0014822,              0.0014822
                    114,                0.42052,                0.59705,                0.88855,                0.65584,                    0.8,                0.80738,                0.78748,                0.33436,                0.91083,                0.82635,              0.0014805,              0.0014805,              0.0014805
                    115,                0.41926,                0.63339,                0.86814,                0.95455,                  0.775,                0.87136,                0.84722,                0.34367,                0.74427,                0.82825,              0.0014789,              0.0014789,              0.0014789
                    116,                0.39205,                  0.543,                0.84784,                0.91154,                   0.75,                0.85437,                0.82674,                0.34989,                 0.6735,                0.83056,              0.0014772,              0.0014772,              0.0014772
                    117,                0.44299,                0.51674,                0.88708,                0.91429,                  0.775,                0.85939,                0.83858,                0.33131,                0.58854,                0.82995,              0.0014756,              0.0014756,              0.0014756
                    118,                 0.3812,                0.52738,                0.87184,                 0.8875,                    0.8,                0.86551,                 0.8394,                0.31911,                0.55509,                0.82974,              0.0014739,              0.0014739,              0.0014739
                    119,                0.41903,                0.53115,                 0.8798,                0.85354,                   0.85,                0.89583,                0.85485,                0.33113,                0.56217,                0.83295,              0.0014723,              0.0014723,              0.0014723
                    120,                0.41382,                0.59068,                0.87789,                0.91429,                  0.775,                0.85582,                0.82526,                0.33117,                0.67316,                0.83492,              0.0014706,              0.0014706,              0.0014706
                    121,                0.44438,                0.61159,                0.88068,                0.89205,                   0.85,                0.87963,                 0.8413,                0.34833,                0.56733,                0.83733,               0.001469,               0.001469,               0.001469
                    122,                0.44644,                0.54793,                0.89453,                0.90191,                  0.925,                0.91565,                0.88455,                0.35978,                0.49322,                0.83685,              0.0014673,              0.0014673,              0.0014673
                    123,                0.39396,                0.53147,                0.87801,                0.90191,                  0.925,                0.92269,                0.88648,                0.35492,                0.48727,                0.83087,              0.0014657,              0.0014657,              0.0014657
                    124,                0.42049,                0.56955,                0.88003,                0.90455,                   0.95,                0.93729,                0.90746,                0.33905,                0.47777,                0.82528,               0.001464,               0.001464,               0.001464
                    125,                0.41586,                0.53338,                0.85743,                0.89899,                    0.9,                0.91369,                0.89426,                0.33933,                0.47091,                0.83158,              0.0014624,              0.0014624,              0.0014624
                    126,                0.42844,                 0.4856,                0.88179,                0.90693,                  0.975,                0.94353,                0.91314,                0.31638,                0.46506,                0.82657,              0.0014607,              0.0014607,              0.0014607
                    127,                0.43627,                0.52699,                0.88074,                0.89154,                  0.975,                0.94807,                0.91273,                0.32195,                 0.4756,                0.83304,              0.0014591,              0.0014591,              0.0014591
                    128,                0.38795,                0.52633,                0.85913,                0.86077,                  0.975,                0.94851,                 0.9161,                0.31278,                 0.4894,                0.82746,              0.0014574,              0.0014574,              0.0014574
                    129,                0.37213,                0.44645,                0.86824,                0.86905,                  0.975,                 0.9496,                0.92753,                0.32498,                0.49625,                0.83071,              0.0014558,              0.0014558,              0.0014558
                    130,                0.44227,                0.49364,                0.89029,                0.83974,                  0.775,                0.84744,                0.82841,                0.32384,                0.67689,                0.82968,              0.0014541,              0.0014541,              0.0014541
                    131,                0.39937,                0.48806,                0.86258,                0.83974,                  0.775,                0.84567,                0.83326,                0.31356,                0.68915,                0.82576,              0.0014525,              0.0014525,              0.0014525
                    132,                0.44197,                0.49174,                0.88951,                0.89205,                   0.85,                0.88895,                0.87552,                0.30014,                0.58549,                0.81857,              0.0014508,              0.0014508,              0.0014508
                    133,                0.40583,                0.49365,                0.86994,                0.89572,                  0.875,                0.91037,                0.88111,                0.31706,                0.55361,                0.81943,              0.0014492,              0.0014492,              0.0014492
